bell_state,noise_type,p,S,above_classical
Psi-,depolarizing,0.01020408163265306,2.799565623473269,True
Psi-,depolarizing,0.02040816326530612,2.770704122200349,True
Psi-,depolarizing,0.030612244897959183,2.7418426209274283,True
Psi-,depolarizing,0.04081632653061224,2.7129811196545077,True
Psi-,depolarizing,0.0510204081632653,2.6841196183815876,True
Psi-,depolarizing,0.061224489795918366,2.655258117108668,True
Psi-,depolarizing,0.07142857142857142,2.6263966158357475,True
Psi-,depolarizing,0.08163265306122448,2.5975351145628265,True
Psi-,depolarizing,0.09183673469387754,2.5686736132899064,True
Psi-,depolarizing,0.1020408163265306,2.5398121120169863,True
Psi-,depolarizing,0.11224489795918366,2.5109506107440662,True
Psi-,depolarizing,0.12244897959183673,2.4820891094711457,True
Psi-,depolarizing,0.13265306122448978,2.453227608198225,True
Psi-,depolarizing,0.14285714285714285,2.424366106925305,True
Psi-,depolarizing,0.1530612244897959,2.395504605652385,True
Psi-,depolarizing,0.16326530612244897,2.366643104379465,True
Psi-,depolarizing,0.17346938775510204,2.337781603106544,True
Psi-,depolarizing,0.18367346938775508,2.308920101833624,True
Psi-,depolarizing,0.19387755102040816,2.2800586005607038,True
Psi-,depolarizing,0.2040816326530612,2.2511970992877837,True
Psi-,depolarizing,0.21428571428571427,2.222335598014863,True
Psi-,depolarizing,0.22448979591836732,2.1934740967419426,True
Psi-,depolarizing,0.2346938775510204,2.1646125954690225,True
Psi-,depolarizing,0.24489795918367346,2.1357510941961015,True
Psi-,depolarizing,0.25510204081632654,2.1068895929231823,True
Psi-,depolarizing,0.26530612244897955,2.0780280916502623,True
Psi-,depolarizing,0.2755102040816326,2.0491665903773413,True
Psi-,depolarizing,0.2857142857142857,2.020305089104421,True
Psi-,depolarizing,0.29591836734693877,1.9914435878315007,False
Psi-,depolarizing,0.3061224489795918,1.962582086558581,False
Psi-,depolarizing,0.31632653061224486,1.9337205852856603,False
Psi-,depolarizing,0.32653061224489793,1.90485908401274,False
Psi-,depolarizing,0.336734693877551,1.8759975827398194,False
Psi-,depolarizing,0.3469387755102041,1.8471360814668993,False
Psi-,depolarizing,0.3571428571428571,1.8182745801939793,False
Psi-,depolarizing,0.36734693877551017,1.7894130789210587,False
Psi-,depolarizing,0.37755102040816324,1.7605515776481384,False
Psi-,depolarizing,0.3877551020408163,1.731690076375218,False
Psi-,depolarizing,0.39795918367346933,1.702828575102298,False
Psi-,depolarizing,0.4081632653061224,1.6739670738293775,False
Psi-,depolarizing,0.4183673469387755,1.6451055725564574,False
Psi-,depolarizing,0.42857142857142855,1.6162440712835369,False
Psi-,depolarizing,0.4387755102040816,1.5873825700106168,False
Psi-,depolarizing,0.44897959183673464,1.5585210687376962,False
Psi-,depolarizing,0.4591836734693877,1.529659567464776,False
Psi-,depolarizing,0.4693877551020408,1.5007980661918556,False
Psi-,depolarizing,0.47959183673469385,1.4719365649189355,False
Psi-,depolarizing,0.4897959183673469,1.443075063646015,False
Psi-,depolarizing,0.5,1.414213562373095,False
Psi-,dephasing,0.0,2.828427124746189,True
Psi-,dephasing,0.01020408163265306,2.771293132430408,True
Psi-,dephasing,0.02040816326530612,2.7153371605747463,True
Psi-,dephasing,0.030612244897959183,2.660559209179204,True
Psi-,dephasing,0.04081632653061224,2.6069592782437794,True
Psi-,dephasing,0.0510204081632653,2.554537367768477,True
Psi-,dephasing,0.061224489795918366,2.5032934777532914,True
Psi-,dephasing,0.07142857142857142,2.453227608198225,True
Psi-,dephasing,0.08163265306122448,2.4043397591032796,True
Psi-,dephasing,0.09183673469387754,2.3566299304684515,True
Psi-,dephasing,0.1020408163265306,2.310098122293743,True
Psi-,dephasing,0.11224489795918366,2.264744334579154,True
Psi-,dephasing,0.12244897959183673,2.2205685673246838,True
Psi-,dephasing,0.13265306122448978,2.1775708205303337,True
Psi-,dephasing,0.14285714285714285,2.135751094196103,True
Psi-,dephasing,0.1530612244897959,2.09510938832199,True
Psi-,dephasing,0.16326530612244897,2.055645702907997,True
Psi-,dephasing,0.17346938775510204,2.0173600379541234,True
Psi-,dephasing,0.18367346938775508,1.9802523934603686,False
Psi-,dephasing,0.19387755102040816,1.9443227694267322,False
Psi-,dephasing,0.2040816326530612,1.909571165853216,False
Psi-,dephasing,0.21428571428571427,1.8759975827398194,False
Psi-,dephasing,0.22448979591836732,1.8436020200865408,False
Psi-,dephasing,0.2346938775510204,1.8123844778933826,False
Psi-,dephasing,0.24489795918367346,1.7823449561603426,False
Psi-,dephasing,0.25510204081632654,1.7534834548874227,False
Psi-,dephasing,0.26530612244897955,1.725799974074622,False
Psi-,dephasing,0.2755102040816326,1.69929451372194,False
Psi-,dephasing,0.2857142857142857,1.673967073829377,False
Psi-,dephasing,0.29591836734693877,1.6498176543969334,False
Psi-,dephasing,0.3061224489795918,1.6268462554246097,False
Psi-,dephasing,0.31632653061224486,1.6050528769124037,False
Psi-,dephasing,0.32653061224489793,1.5844375188603184,False
Psi-,dephasing,0.336734693877551,1.565000181268351,False
Psi-,dephasing,0.3469387755102041,1.5467408641365046,False
Psi-,dephasing,0.3571428571428571,1.5296595674647757,False
Psi-,dephasing,0.36734693877551017,1.5137562912531661,False
Psi-,dephasing,0.37755102040816324,1.4990310355016765,False
Psi-,dephasing,0.3877551020408163,1.4854838002103057,False
Psi-,dephasing,0.39795918367346933,1.4731145853790546,False
Psi-,dephasing,0.4081632653061224,1.4619233910079212,False
Psi-,dephasing,0.4183673469387755,1.4519102170969094,False
Psi-,dephasing,0.42857142857142855,1.4430750636460141,False
Psi-,dephasing,0.4387755102040816,1.4354179306552406,False
Psi-,dephasing,0.44897959183673464,1.4289388181245843,False
Psi-,dephasing,0.4591836734693877,1.423637726054048,False
Psi-,dephasing,0.4693877551020408,1.4195146544436315,False
Psi-,dephasing,0.47959183673469385,1.4165696032933328,False
Psi-,dephasing,0.4897959183673469,1.4148025726031546,False
Psi-,dephasing,0.5,1.4142135623730954,False
Psi-,amplitude_damping,0.0,2.828427124746189,True
Psi-,amplitude_damping,0.01020408163265306,2.785134872836809,True
Psi-,amplitude_damping,0.02040816326530612,2.7418426209274287,True
Psi-,amplitude_damping,0.030612244897959183,2.698550369018048,True
Psi-,amplitude_damping,0.04081632653061224,2.655258117108667,True
Psi-,amplitude_damping,0.0510204081632653,2.6119658651992874,True
Psi-,amplitude_damping,0.061224489795918366,2.5686736132899064,True
Psi-,amplitude_damping,0.07142857142857142,2.525381361380526,True
Psi-,amplitude_damping,0.08163265306122448,2.482089109471146,True
Psi-,amplitude_damping,0.09183673469387754,2.4387968575617656,True
Psi-,amplitude_damping,0.1020408163265306,2.395504605652385,True
Psi-,amplitude_damping,0.11224489795918366,2.3522123537430044,True
Psi-,amplitude_damping,0.12244897959183673,2.308920101833624,True
Psi-,amplitude_damping,0.13265306122448978,2.2656278499242437,True
Psi-,amplitude_damping,0.14285714285714285,2.2223355980148636,True
Psi-,amplitude_damping,0.1530612244897959,2.179043346105483,True
Psi-,amplitude_damping,0.16326530612244897,2.1357510941961024,True
Psi-,amplitude_damping,0.17346938775510204,2.092458842286722,True
Psi-,amplitude_damping,0.18367346938775508,2.0491665903773417,True
Psi-,amplitude_damping,0.19387755102040816,2.0058743384679603,True
Psi-,amplitude_damping,0.2040816326530612,1.9625820865585801,False
Psi-,amplitude_damping,0.21428571428571427,1.9192898346492004,False
Psi-,amplitude_damping,0.22448979591836732,1.8759975827398194,False
Psi-,amplitude_damping,0.2346938775510204,1.8327053308304384,False
Psi-,amplitude_damping,0.24489795918367346,1.7894130789210578,False
Psi-,amplitude_damping,0.25510204081632654,1.7461208270116781,False
Psi-,amplitude_damping,0.26530612244897955,1.7028285751022982,False
Psi-,amplitude_damping,0.2755102040816326,1.6595363231929174,False
Psi-,amplitude_damping,0.2857142857142857,1.6162440712835366,False
Psi-,amplitude_damping,0.29591836734693877,1.572951819374156,False
Psi-,amplitude_damping,0.3061224489795918,1.5296595674647757,False
Psi-,amplitude_damping,0.31632653061224486,1.4863673155553954,False
Psi-,amplitude_damping,0.32653061224489793,1.4430750636460152,False
Psi-,amplitude_damping,0.336734693877551,1.3997828117366342,False
Psi-,amplitude_damping,0.3469387755102041,1.3564905598272543,False
Psi-,amplitude_damping,0.3571428571428571,1.3131983079178735,False
Psi-,amplitude_damping,0.36734693877551017,1.2699060560084927,False
Psi-,amplitude_damping,0.37755102040816324,1.2266138040991126,False
Psi-,amplitude_damping,0.3877551020408163,1.183321552189732,False
Psi-,amplitude_damping,0.39795918367346933,1.1400293002803523,False
Psi-,amplitude_damping,0.4081632653061224,1.0967370483709713,False
Psi-,amplitude_damping,0.4183673469387755,1.053444796461591,False
Psi-,amplitude_damping,0.42857142857142855,1.0101525445522102,False
Psi-,amplitude_damping,0.4387755102040816,0.9668602926428305,False
Psi-,amplitude_damping,0.44897959183673464,0.9235680407334498,False
Psi-,amplitude_damping,0.4591836734693877,0.8802757888240693,False
Psi-,amplitude_damping,0.4693877551020408,0.8369835369146894,False
Psi-,amplitude_damping,0.47959183673469385,0.7936912850053084,False
Psi-,amplitude_damping,0.4897959183673469,0.7503990330959275,False
Psi-,amplitude_damping,0.5,0.7071067811865476,False
